pincode,officeName,district,state,storedLat,storedLon,kmFromRegion,regionPrefix,severity
629810,"Kandanvilai S.O","KANNIYAKUMARI","TAMIL NADU",8.2061111,77.3264444,220,6298*,CRITICAL
123110,"Industrial Area Dharuhera SO","REWARI","HARYANA",28.2335556,77.8032778,219,123*,CRITICAL
700038,"Sahapur SO","KOLKATA","WEST BENGAL",22.5068055,88.3234166,216,70003*,CRITICAL
505506,"Mutharam S.O","PEDDAPALLI","TELANGANA",18.528108,80.027908,214,50550*,CRITICAL
521320,"Kruthivennu SO","KRISHNA","ANDHRA PRADESH",16.3787,81.360617,214,52132*,CRITICAL
176062,"Auc Palampur SO","KANGRA","HIMACHAL PRADESH",32.1031389,76.5510278,212,17606*,CRITICAL
312617,"Kailash  Nagar S.O","CHITTORGARH","RAJASTHAN",25.1131667,72.8190278,211,31261*,CRITICAL
176065,"Rajhoon SO","KANGRA","HIMACHAL PRADESH",32.0285833,76.4052222,210,17606*,CRITICAL
387325,"Kanjari SO","KHEDA","GUJARAT",22.7525,72.6844722,206,3873*,CRITICAL
387315,"Chaklashi SO","KHEDA","GUJARAT",22.7525,72.6844722,206,3873*,CRITICAL
581318,"Banavasi S.O","UTTARA KANNADA","KARNATAKA",14.37,74.5,205,58131*,CRITICAL
221009,"Sahupuri SO","CHANDAULI","UTTAR PRADESH",27.1731,83.0447,204,22100*,CRITICAL
509360,"Veldanda S.O","NAGARKURNOOL","TELANGANA",16.9716667,79.7827222,204,5093*,CRITICAL
533211,"Mukteswaram S.O","Konaseema","ANDHRA PRADESH",15.99480556,79.98430556,204,53321*,CRITICAL
846008,"K D S U SO","DARBHANGA","BIHAR",26.164545,85.897499,204,84600*,CRITICAL
846006,"Subhankarpur SO","DARBHANGA","BIHAR",26.1580555,85.8869444,203,84600*,CRITICAL
181205,"Muthi SO","JAMMU","JAMMU AND KASHMIR",34.75832,74.814157,202,18120*,CRITICAL
734002,"Salbari SO","DARJEELING","WEST BENGAL",26.7097222,88.4287778,197,73400*,HIGH
744207,"Hut  Bay S.O","SOUTH ANDAMANS","ANDAMAN AND NICOBAR ISLANDS",10.59138889,92.53833333,196,74420*,HIGH
401205,"Juchandra","PALGHAR","MAHARASHTRA",19.3603,72.8727,196,40120*,HIGH
712233,"Hindmotor SO","HOOGHLY","WEST BENGAL",22.6860556,88.3505833,195,7122*,HIGH
581358,"Yekkambi S.O","UTTARA KANNADA","KARNATAKA",12.6155,74.8345,194,58135*,HIGH
686141,"Vaikom HO","KOTTAYAM","KERALA",9.75008,76.39022,194,68614*,HIGH
712291,"NDC Rishra","NA","NA",22.7221827,88.3536356,194,7122*,HIGH
581355,"Siddapur S.O","UTTARA KANNADA","KARNATAKA",12.6155,74.8345,194,58135*,HIGH
581356,"Tergaon S.O","UTTARA KANNADA","KARNATAKA",12.6155,74.8345,194,58135*,HIGH
712232,"Bhadrakali SO","HOOGHLY","WEST BENGAL",22.88825,88.40225,193,7122*,HIGH
581322,"Bilgi S.O (Uttara Kannada)","UTTARA KANNADA","KARNATAKA",12.6155,74.8345,192,58132*,HIGH
581329,"Haliyal S.O","UTTARA KANNADA","KARNATAKA",12.6155,74.8345,192,58132*,HIGH
631152,"Suraksha Cisf Campus SO","Ranipet","TAMIL NADU",12.9809911,77.6830238,192,63115*,HIGH
712234,"Kanaipur SO","HOOGHLY","WEST BENGAL",22.7027666,88.3235833,192,7122*,HIGH
401209,"Nallosapare E S.O","PALGHAR","MAHARASHTRA",19.4253889,72.8274167,191,40120*,HIGH
678732,"Kottekkad SO","PALAKKAD","KERALA",10.799571,76.642318,189,6787*,HIGH
521328,"Koduru S.O","KRISHNA","ANDHRA PRADESH",16.0124592,81.039318,186,52132*,HIGH
679106,"Kondazhi SO","THRISSUR","KERALA",10.726977,76.397333,183,67910*,HIGH
509235,"Thoodukurthy S.O","NAGARKURNOOL","TELANGANA",16.4277222,78.2405,183,5092*,HIGH
122098,"CRPF Kadarpur SO","GURUGRAM","HARYANA",28.3913822,77.0511932,183,1220*,HIGH
679105,"Mayannur SO","THRISSUR","KERALA",10.7538539,76.3800437,180,67910*,HIGH
416307,"Kavathe Ekand S.O","SANGLI","MAHARASHTRA",16.9850969,74.6213603,179,41630*,HIGH
625015,"Thiagarajar Engg College SO","MADURAI","TAMIL NADU",9.8834167,78.0798889,179,62501*,HIGH
742164,"Roshanbagh SO","MURSHIDABAD","WEST BENGAL",25.5272222,88.4202777,179,74216*,HIGH
679104,"Kanniampuram SO","PALAKKAD","KERALA",10.7730733,76.3635583,178,67910*,HIGH
679101,"Ottapalam HO","PALAKKAD","KERALA",10.7708266,76.3793866,178,67910*,HIGH
123501,"Bawal SO","REWARI","HARYANA",28.0733889,76.5809722,177,123*,HIGH
686616,"Newsprint Nagar SO","KOTTAYAM","KERALA",9.831784,76.468777,176,68661*,HIGH
678541,"Alathur Mbr HO","PALAKKAD","KERALA",10.642185,76.544826,174,67854*,HIGH
723134,"NILDIH RTPS S.O.","PURULIA","WEST BENGAL",23.591303,86.663469,174,72313*,HIGH
678546,"Erimayur SO","PALAKKAD","KERALA",10.642185,76.544826,174,67854*,HIGH
201302,"NDC Noida","GAUTAM BUDDHA NAGAR","UTTAR PRADESH",28.5787,77.3134,173,20130*,HIGH
788733,"BAZARGHAT B.O","KARIMGANJ","ASSAM",24.6036115,92.3870211,172,78873*,HIGH
474008,"Gwalior Fort S.O","GWALIOR","MADHYA PRADESH",26.230832,78.321936,172,47400*,HIGH
474007,"Moti Mahal S.O","GWALIOR","MADHYA PRADESH",26.230832,78.321936,172,47400*,HIGH
713326,"Chotodighari SO","PASCHIM BARDHAMAN","WEST BENGAL",22.2322222,87.8636111,172,71332*,HIGH
390008,"NDC FATEGANJ","NA","NA",22.3271018,73.1895287,172,39000*,HIGH
686653,"Kadanad Meenachil SO","KOTTAYAM","KERALA",9.7771697,76.7026957,172,68665*,HIGH
474004,"Birla Nagar S.O","GWALIOR","MADHYA PRADESH",26.230832,78.321936,172,47400*,HIGH
123101,"Khori SO","REWARI","HARYANA",28.209,76.8841111,171,123*,HIGH
732215,"Pubarun SO","MALDAH","WEST BENGAL",24.0004861,87.0012916,171,73221*,HIGH
390006,"Fatepura SO Vadodara","VADODARA","GUJARAT",22.3035833,73.1976944,170,39000*,HIGH
122052,"IMT Manesar SO","GURUGRAM","HARYANA",28.342,76.9364722,170,1220*,HIGH
390002,"Fateganj HO","VADODARA","GUJARAT",22.3035833,73.1976944,170,39000*,HIGH
686021,"Pariyaram SO Kottayam","KOTTAYAM","KERALA",9.541556,76.584709,168,6860*,HIGH
700127,"Hridaypur SO","24 PARAGANAS NORTH","WEST BENGAL",22.7098333,88.4678333,168,70012*,HIGH
791109,"Nirjuli S.O","PAPUM PARE","ARUNACHAL PRADESH",27.13025,93.74111111,168,79110*,HIGH
786173,"Jubilee Digboi S.O","TINSUKIA","ASSAM",26.4445,94.151,167,78617*,HIGH
241127,"Sandila I Estate SO","HARDOI","UTTAR PRADESH",27.084156994191734,80.4551368646985,167,24112*,HIGH
123106,"Dharuhera SO","REWARI","HARYANA",28.2306667,76.80025,166,123*,HIGH
123102,"Kund SO","REWARI","HARYANA",28.1501944,76.3992778,166,123*,HIGH
533222,"Anatavaram S.O","Konaseema","ANDHRA PRADESH",17.69897222,83.28530556,163,5332*,HIGH
686022,"Chengalam South SO","KOTTAYAM","KERALA",9.589517,76.476451,163,6860*,HIGH
123412,"Dharan SO","REWARI","HARYANA",28.2017222,76.5955833,163,123*,HIGH
123103,"Khol SO","REWARI","HARYANA",28.1728056,76.402,163,123*,HIGH
764052,"Chitrakonda S.O","MALKANGIRI","ODISHA",19.6654,84.00004,161,76405*,HIGH
362269,"Inaj BO","GIR SOMNATH","GUJARAT",20.9823796,70.4178153,160,36226*,HIGH
686041,"Malloossery SO","KOTTAYAM","KERALA",9.616405,76.518911,160,6860*,HIGH
442107,"Sawangi Meghe SO","WARDHA","MAHARASHTRA",20.1668056,77.1065556,160,44210*,HIGH
755063,"KAITHA S.O","JAJAPUR","ODISHA",20.605018,86.083954,160,75506*,HIGH
583225,"T B Dam S.O","VIJAYNAGAR","KARNATAKA",15.2669444,76.3513056,159,58322*,HIGH
141201,"Kila Raipur SO","LUDHIANA","PUNJAB",30.7623611,75.8213055,159,14120*,HIGH
517305,"Cherlopalle S.O","Annamayya","ANDHRA PRADESH",14.4165833,77.0571667,158,5173*,HIGH
713369,"Kalyaneshwari SO","PASCHIM BARDHAMAN","WEST BENGAL",24.2808333,87.5516666,158,71336*,HIGH
713365,"Chittaranjan TS SO","PASCHIM BARDHAMAN","WEST BENGAL",23.618125,87.136235,154,71336*,HIGH
781040,"Sawkuchi S.O","KAMRUP METRO","ASSAM",26.1203667,91.7507642,154,7810*,HIGH
770042,"Tensa S.O","SUNDARGARH","ODISHA",21.8722149,85.1688566,154,77004*,HIGH
678685,"Mannapra SO","PALAKKAD","KERALA",10.642185,76.544826,152,67868*,HIGH
686609,"Mevelloor SO","KOTTAYAM","KERALA",9.832752,76.454825,152,68660*,HIGH
509228,"Kothur S.O","RANGA REDDY","TELANGANA",17.1485278,78.2871111,151,5092*,HIGH
123411,"Dahina SO","REWARI","HARYANA",28.2938611,76.3839722,149,123*,HIGH
695134,"Vlathankara SO","THIRUVANANTHAPURAM","KERALA",8.362619,77.09242,148,6951*,HIGH
721624,"Rangibasan SO","MEDINIPUR EAST","WEST BENGAL",22.116759,87.59,146,72162*,HIGH
509326,"Srisailam Dam  S.O","NAGARKURNOOL","TELANGANA",16.0742222,78.0315556,146,50932*,HIGH
682511,"Malipuram SO","ERNAKULAM","KERALA",10.1102222,76.3595833,146,6825*,HIGH
480771,"Ari S.O","SEONI","MADHYA PRADESH",21.8128,80.1838,146,480*,HIGH
123301,"Guriani SO","REWARI","HARYANA",28.3571944,76.5355,145,123*,HIGH
829115,"Garri BO","BOKARO","JHARKHAND",23.604995,86.944122,144,82911*,HIGH
503002,"Subhashnagar S.O","NIZAMABAD","TELANGANA",18.682979,78.10737,143,503*,HIGH
503001,"Nizamabad H.O","NIZAMABAD","TELANGANA",18.6715,78.0937,143,503*,HIGH
173210,"Dagshai SO","SOLAN","HIMACHAL PRADESH",30.878024,77.05822,143,17321*,HIGH
125052,"Mandi Adampur SO","HISAR","HARYANA",28.2817778,75.4726389,140,12505*,HIGH
283205,"Collectorate firozabad SO","FIROZABAD","UTTAR PRADESH",27.126702,78.4802172,140,28320*,HIGH
799104,"Jatanbari S.O","Gomati","TRIPURA",23.9408,91.9881,140,7991*,HIGH
679587,"Eramangalam SO","MALAPPURAM","KERALA",10.7151823,75.9784036,140,67958*,HIGH
174005,"Raghunath Pura SO","BILASPUR","HIMACHAL PRADESH",31.312751,76.763658,139,17400*,HIGH
123302,"Kosli SO","REWARI","HARYANA",28.4002222,76.4839167,139,123*,HIGH
679583,"Ponani Nagaram SO","MALAPPURAM","KERALA",10.7765,75.92176,139,67958*,HIGH
741247,"Pritinagar SO","NADIA","WEST BENGAL",22.1296944,88.5454444,139,74124*,HIGH
679581,"Marancheri SO","MALAPPURAM","KERALA",10.7318362,75.9755907,138,67958*,HIGH
823005,"Asc CentreN Gaya SO","GAYA","BIHAR",24.7938333,85.0080833,138,82300*,HIGH
591219,"Galataga S.O","BELAGAVI","KARNATAKA",16.489898,74.470702,138,59121*,HIGH
123303,"Nahar SO","REWARI","HARYANA",28.4120556,76.398,137,123*,HIGH
770046,"Hatibari S.O","SUNDARGARH","ODISHA",22.403882,84.859261,136,77004*,HIGH
515331,"Lepakshi S.O","Sri Sathya Sai","ANDHRA PRADESH",13.80286111,77.60919444,135,515*,HIGH
734091,"NDC Siliguri","NA","NA",26.73,88.4,135,7340*,HIGH
515341,"Chilamathur S.O","Sri Sathya Sai","ANDHRA PRADESH",13.83944444,77.67052778,134,515*,HIGH
581336,"Hulekal S.O","UTTARA KANNADA","KARNATAKA",14.42,74.46,134,58133*,HIGH
505188,"Kamanpur S.O","PEDDAPALLI","TELANGANA",18.6614722,79.5039167,133,50518*,HIGH
585413,"Halbarga S.O","BIDAR","KARNATAKA",17.59,77.19,132,58541*,HIGH
679585,"Alankode SO","MALAPPURAM","KERALA",10.7530593,76.0357329,132,67958*,HIGH
679563,"Nhamanghat SO","THRISSUR","KERALA",10.643983,76.026146,132,6795*,HIGH
452012,"Rajendra Nagar S.O (Indore)","INDORE","MADHYA PRADESH",22.4,75.49,132,45201*,HIGH
585326,"Aurad (B) S.O","BIDAR","KARNATAKA",18.25294444,77.41566667,130,58532*,HIGH
679562,"Vadakkekad SO","THRISSUR","KERALA",10.664267,76.00321,129,6795*,HIGH
493887,"Kopra SO","GARIYABAND","CHHATTISGARH",20.50045,81.55447,128,49388*,HIGH
679561,"Punnayurkulam SO","THRISSUR","KERALA",10.672445,75.99553,128,6795*,HIGH
487330,"Barman S.O","NARSINGHPUR","MADHYA PRADESH",22.75,77.72,128,487*,HIGH
679564,"Andathode SO","THRISSUR","KERALA",10.6783,75.969417,127,6795*,HIGH
581363,"Ambikanagar S.O","UTTARA KANNADA","KARNATAKA",15.71,74.39,127,58136*,HIGH
144007,"Ladhewali SO","JALANDHAR","PUNJAB",31.32594121,75.62710435,126,14400*,HIGH
131030,"TDI City Kundli SO","SONIPAT","HARYANA",28.4391,77.3009,125,1310*,HIGH
585412,"Chitguppa S.O","BIDAR","KARNATAKA",17.69805556,77.21366667,125,58541*,HIGH
160006,"NDC Chandigarh","CHANDIGARH","CHANDIGARH",30.742,76.7834,125,16000*,HIGH
144009,"Regional Campus GNDU SO","JALANDHAR","PUNJAB",31.33374377,75.62297607,125,14400*,HIGH
305026,"Thanwala S.O","NAGAUR","RAJASTHAN",26.5574444,74.4666944,125,30502*,HIGH
711225,"Pancharul SO","HOWRAH","WEST BENGAL",22.5816944,88.3371944,124,71122*,HIGH
